VI0001,ABRONAMOUE,SP156,5277,,,,,,,,,
VI0002,ADAMAKRO,SP156,5278,,,,,,,,,
VI0003,AFFALIKRO,SP24,5279,,,,,,,,,
VI0004,NIABLE,SP24,5280,,,,,,,,,
VI0005,AMELEKIA,SP24,5281,,,,,,,,,
VI0006,AMIENKOUASSIKRO,SP26,5282,,,,,,,,,
VI0007,ANIASSUE,SP26,5283,,,,,,,,,
VI0008,ABENGOUROU,SP03,5284,,,,,,,,,
VI0009,APPOISSO,SP03,5285,,,,,,,,,
VI0010,APPROMPRONOU,SP03,5286,,,,,,,,,
VI0011,ASSAKRO,SP26,5287,,,,,,,,,
VI0012,BOSSOMATCHE,SP03,5288,,,,,,,,,
VI0013,CAMPEMENT AKUA,SP26,5289,,,,,,,,,
VI0014,EHOUSSOUKRO,SP156,5290,,,,,,,,,
VI0015,DIANGOBO,SP156,5291,,,,,,,,,
VI0016,DJAMBROUKRO,SP03,5292,,,,,,,,,
VI0017,DRAMANEKRO,SP03,5293,,,,,,,,,
VI0018,EBOUASSUE,SP03,5294,,,,,,,,,
VI0019,KODJINA,SP03,5295,,,,,,,,,
VI0020,KOHOUN,SP03,5296,,,,,,,,,
VI0021,KOITIENKRO,SP24,5297,,,,,,,,,
VI0022,KOUMOUEKRO,SP156,5298,,,,,,,,,
VI0023,LADJIKOGOSSO,SP03,5299,,,,,,,,,
VI0024,ZOUHOUNOU,SP156,5300,,,,,,,,,
VI0025,NDRIKRO,SP03,5301,,,,,,,,,
VI0026,CAMPEMENT MATHIEU,SP156,5302,,,,,,,,,
VI0027,PADIEGNAN,SP207,5303,,,,,,,,,
VI0028,SATIKRAN,SP26,5304,,,,,,,,,
VI0029,YAKASSE-FEYASSE,SP207,5305,,,,,,,,,
VI0030,ZAMAKA,SP207,5306,,,,,,,,,
VI0031,ASSIKASSO,SP17,5307,,,,,,,,,
VI0032,DAME,SP17,5308,,,,,,,,,
VI0033,MANZANOUAN,SP17,5309,,,,,,,,,
VI0034,NIANDA,SP17,5310,,,,,,,,,
VI0035,APPROMPRON AFFEWA,SP44,5311,,,,,,,,,
VI0036,AKREBI,SP44,5312,,,,,,,,,
VI0037,BETTIE,SP44,5313,,,,,,,,,
VI0038,NZIKRO,SP44,5314,,,,,,,,,
