1,ABE,ABENGOUROU,,,,
2,ABJ,ABIDJAN,,,,
3,ABO,ABOISSO,,,,
4,AGB,AGBOVILLE,,,,
5,BON,BONGOUANOU,,,,
6,DAL,DALOA,,,,
7,DIV,DIVO,,,,
8,DUE,DUEKOUE,,,,
9,GAG,GAGNOA,,,,
10,MAN,MAN,,,,
11,SAN,SAN-PEDRO,,,,
12,SOU,SOUBRE,,,,
13,YAM,YAMOUSSOUKRO,,,,
